date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,SMA_20,RSI,SMA_10,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,BB_upper,BB_lower,BB_percent,Volatility,ATR,OBV,Daily_Return,Cumulative_Return
2024-08-02,10.55,10.55,10.0,10.03,9.44,110703005,110703005,-0.52,-4.93,10.2825,"August 02, 24",-0.0493,12.777,21.57350900949008,11.736,11.662879737956379,12.25579997421311,21.57350900949008,-0.592920236256731,-0.16810719050539563,15.807307575148107,9.746692424851892,0.046745679790319766,1.7613431438336107,0.46966043437564303,-91821960,-6.173994387277837,-0.17719442165709598
2024-08-05,9.56,9.9,9.49,9.71,9.13,115594200,115594200,0.15,1.57,9.665,"August 05, 24",0.0157,12.6135,19.95377207141466,11.294999999999998,11.362436701347706,12.067222198345473,19.95377207141466,-0.7047854969977667,-0.27544285180386985,15.922410847998176,9.304589152001824,0.06126046705722546,1.8148399257355856,0.4746846890630971,-207416160,-3.1904287138584064,-0.20344544708777668
2024-08-06,9.79,9.86,9.68,9.78,9.2,111817647,111817647,-0.01,-0.10215,9.7775,"August 06, 24",-0.0010215,12.4575,21.34495117610544,10.889999999999999,11.118984901140367,11.897798331801363,21.34495117610544,-0.7788134306609962,-0.3761169675752951,15.98466245727355,8.930337542726448,0.12044560855446512,1.784852627277357,0.4536357827014473,-95598513,0.720906282183309,-0.19770303527481525
2024-08-07,9.85,9.98,9.75,9.77,9.33,69482430,69482430,-0.08,-0.81218,9.8375,"August 07, 24",-0.0081218,12.2875,21.28803125135451,10.5,10.911448762503387,11.740183640556818,21.28803125135451,-0.8287348780534316,-0.46664054967092244,15.984563023536385,8.590436976463614,0.15952703754669662,1.674776022420521,0.4376617982227725,-165080943,-0.10224948875255935,-0.19852337981952406
2024-08-08,9.8,10.25,9.8,10.13,9.68,73007624,73007624,0.33,3.37,9.995,"August 08, 24",0.0337,12.1205,28.663169187313713,10.397,10.791225875964404,11.62091077829335,28.663169187313713,-0.8296849023289461,-0.5392494202025272,15.889852596932263,8.351147403067737,0.23596261575263702,1.5420047248398892,0.4406859554925745,-92073319,3.68474923234392,-0.16899097621000803
2024-08-09,10.08,10.17,9.97,10.1,9.65,48860845,48860845,0.02,0.19841,10.08,"August 09, 24",0.0019841,11.924000000000001,28.42415680548318,10.288,10.684883433508341,11.50825072064199,28.42415680548318,-0.8233672871336495,-0.5960729935887517,15.684427635256394,8.163572364743608,0.25747439162253183,1.3130028079278204,0.4234941015288191,-140934164,-0.29615004935835687,-0.17145200984413445
2024-08-12,10.1,10.1,9.84,9.86,9.42,56118717,56118717,-0.24,-2.38,9.975,"August 12, 24",-0.0238,11.705499999999999,26.519011132834933,10.172999999999998,10.557978289891674,11.38615807466851,26.519011132834933,-0.828179784776836,-0.6424943518263686,15.412026541116354,7.9989734588836425,0.25104724335197137,1.0324110264194641,0.4118159514196177,-197052881,-2.3762376237623783,-0.19114027891714513
2024-08-13,9.92,10.15,9.77,10.14,9.69,44766100,44766100,0.22,2.22,9.995,"August 13, 24",0.0222,11.493,32.226341366666404,10.103,10.493673937600647,11.293850069137509,32.226341366666404,-0.8001761315368618,-0.6740307077684673,15.043572348227816,7.942427651772186,0.30946733831866313,0.5501413404802951,0.40954338346107366,-152286781,2.8397565922920975,-0.16817063166529933
2024-08-14,10.16,10.24,10.05,10.18,9.73,37026425,37026425,0.02,0.19685,10.1575,"August 14, 24",0.0019685,11.277999999999999,33.02663028643826,10.039,10.445416408739009,11.211342656608805,33.02663028643826,-0.7659262478697961,-0.6924098157887331,14.59191369833313,7.9640863016668675,0.33433485299386595,0.5026790862331797,0.39386171321385405,-115260356,0.39447731755424265,-0.16488925348646422
2024-08-15,10.37,10.5,10.37,10.46,9.99,41597908,41597908,0.09,0.86789,10.425,"August 15, 24",0.0086789,11.0735,38.50102924123957,10.016,10.447660038163777,11.155687645008152,38.50102924123957,-0.7080276068443752,-0.6955333739998615,14.041221516584729,8.10577848341527,0.3966378757960387,0.43726170904592426,0.38858587655572163,-73662448,2.7504911591355707,-0.1419196062346183
